조사번호,조사지역,주구분,조사일자,시간대,X좌표,Y좌표,행정구역명,날씨,남자10대,남자20대,남자30대,남자40대,남자50대,여자10대,여자20대,여자30대,여자40대,여자50대
2544,신촌네거리 계룡건설 사옥 농협 앞,주중,2010-06-21,12시~13시까지,343099,417482,대전광역시 서구 월평동,맑음,2,24,68,50,31,4,37,64,44,26
2544,신촌네거리 계룡건설 사옥 농협 앞,주중,2010-06-21,19시~20시까지,343099,417482,대전광역시 서구 월평동,맑음,19,44,28,33,21,14,56,49,43,18
2544,신촌네거리 계룡건설 사옥 농협 앞,주말,2010-06-20,12시~13시까지,343099,417482,대전광역시 서구 월평동,흐림,13,33,34,61,55,13,32,29,28,12
2544,신촌네거리 계룡건설 사옥 농협 앞,주말,2010-06-20,19시~20시까지,343099,417482,대전광역시 서구 월평동,흐림,23,33,32,547,129,12,39,13,46,4
2545,"계룡로에서 신촌네거리 진입우측 보쌈한판13,000원 앞",주중,2010-06-21,12시~13시까지,343121,417343,대전광역시 서구 월평동,맑음,0,9,27,21,6,5,24,20,10,6
2545,"계룡로에서 신촌네거리 진입우측 보쌈한판13,000원 앞",주중,2010-06-21,19시~20시까지,343121,417343,대전광역시 서구 월평동,맑음,4,22,12,22,12,6,30,27,7,3
2545,"계룡로에서 신촌네거리 진입우측 보쌈한판13,000원 앞",주말,2010-06-20,12시~13시까지,343121,417343,대전광역시 서구 월평동,흐림,3,8,5,8,11,2,8,9,4,3
2545,"계룡로에서 신촌네거리 진입우측 보쌈한판13,000원 앞",주말,2010-06-20,19시~20시까지,343121,417343,대전광역시 서구 월평동,흐림,6,17,19,21,27,5,16,18,11,11
2546,파장시장입구,주중,2010-06-04,12시~13시까지,311013,523508,경기도 수원시 정자1동,맑음,24,26,32,45,60,21,28,98,195,201
2546,파장시장입구,주중,2010-06-04,19시~20시까지,311013,523508,경기도 수원시 정자1동,맑음,13,36,18,18,90,48,36,36,114,126
2546,파장시장입구,주말,2010-06-05,12시~13시까지,311013,523508,경기도 수원시 정자1동,맑음,14,25,45,36,52,9,32,42,36,34
2546,파장시장입구,주말,2010-06-05,19시~20시까지,311013,523508,경기도 수원시 정자1동,맑음,36,42,89,78,64,32,45,95,78,42
2547,갈마네거리 북측 휴대폰 매장 앞,주중,2010-06-24,12시~13시까지,343529,417164,대전광역시 서구 갈마동,맑음,6,10,12,12,18,0,10,29,34,46
2547,갈마네거리 북측 휴대폰 매장 앞,주중,2010-06-24,19시~20시까지,343529,417164,대전광역시 서구 갈마동,맑음,30,19,11,19,26,34,39,32,36,29
2547,갈마네거리 북측 휴대폰 매장 앞,주말,2010-06-26,12시~13시까지,343529,417164,대전광역시 서구 갈마동,흐림,11,7,7,9,12,9,18,14,22,30
2547,갈마네거리 북측 휴대폰 매장 앞,주말,2010-06-26,19시~20시까지,343529,417164,대전광역시 서구 갈마동,흐림,9,27,19,26,35,21,21,22,30,15
2549,갈마네거리 남측 LG전자 앞,주중,2010-06-24,12시~13시까지,343463,417150,대전광역시 서구 갈마동,맑음,3,8,7,9,18,2,18,32,25,29
2549,갈마네거리 남측 LG전자 앞,주중,2010-06-24,19시~20시까지,343463,417150,대전광역시 서구 갈마동,맑음,23,25,18,24,50,16,49,53,41,28
2549,갈마네거리 남측 LG전자 앞,주말,2010-06-26,12시~13시까지,343463,417150,대전광역시 서구 갈마동,흐림,3,7,12,19,26,13,25,23,23,14
2549,갈마네거리 남측 LG전자 앞,주말,2010-06-26,19시~20시까지,343463,417150,대전광역시 서구 갈마동,흐림,15,14,8,18,28,9,23,20,18,6
2550,한마음병원옆 미니스토아 앞,주말,2010-06-27,12시~13시까지,344808,416386,대전광역시 서구 탄방동,흐림,8,8,8,5,9,12,14,7,10,2
2550,한마음병원옆 미니스토아 앞,주말,2010-06-27,19시~20시까지,344808,416386,대전광역시 서구 탄방동,흐림,8,14,18,5,7,6,33,17,12,14
2551,개나리아파트 후문지점,주말,2010-06-27,12시~13시까지,344797,416293,대전광역시 서구 탄방동,흐림,4,5,8,6,5,0,11,7,4,9
2551,개나리아파트 후문지점,주말,2010-06-27,19시~20시까지,344797,416293,대전광역시 서구 탄방동,흐림,1,19,4,5,4,0,9,8,4,6
2552,신탄역 좌측 4거리방향 안경점 옆,주중,2010-06-28,12시~13시까지,348993,427864,대전광역시 대덕구 석봉동,맑음,30,17,11,3,15,23,11,5,9,35
2552,신탄역 좌측 4거리방향 안경점 옆,주중,2010-06-28,19시~20시까지,348993,427864,대전광역시 대덕구 석봉동,맑음,11,26,13,14,27,41,16,15,6,35
2552,신탄역 좌측 4거리방향 안경점 옆,주말,2010-06-26,12시~13시까지,348993,427864,대전광역시 대덕구 석봉동,흐림,13,23,54,12,31,7,35,28,42,59
2552,신탄역 좌측 4거리방향 안경점 옆,주말,2010-06-26,19시~20시까지,348993,427864,대전광역시 대덕구 석봉동,흐림,38,58,29,48,33,27,42,34,12,8
2553,"신탄역 우측 건너편 농협, 조내과 옆",주중,2010-06-28,12시~13시까지,349044,427745,대전광역시 대덕구 신탄진동,맑음,28,6,27,12,10,15,27,38,53,22
2553,"신탄역 우측 건너편 농협, 조내과 옆",주중,2010-06-28,19시~20시까지,349044,427745,대전광역시 대덕구 신탄진동,맑음,23,48,30,31,12,16,54,18,11,47
